NSC,mean_log_IC50,CELL_NAME
740,-6.78304574468085,786-0
740,-3.68778367346939,A498
740,-7.126636,A549/ATCC
740,-6.0428988764045,ACHN
740,-3.78247419354839,BT-549
740,-4.38936990291262,CAKI-1
740,-7.03722589285714,CCRF-CEM
740,-4.15265593220339,COLO 205
740,-4.62341935483871,DU-145
740,-3.73588644067797,EKVX
740,-3.97168,HCC-2998
740,-7.4428132231405,HCT-116
740,-6.94447909090909,HCT-15
740,-6.54618387096774,HL-60(TB)
740,-4.74280194174757,HOP-62
740,-3.70285210084034,HOP-92
740,-3.78131794871795,HS 578T
740,-6.72166774193548,HT29
740,-3.89529658119658,IGROV1
740,-7.32501282051282,K-562
740,-5.63931810344828,KM12
740,-7.40935913043478,LOX IMVI
740,-5.66603294117647,M14
740,-3.69604736842105,MALME-3M
740,-6.9836275862069,MCF7
740,-4.18731578947368,MDA-MB-231/ATCC
740,-4.64856666666667,MDA-MB-435
740,-5.87974074074074,MDA-N
740,-6.91453362068966,MOLT-4
740,-3.66622385321101,NCI-H226
740,-5.44176315789474,NCI-H23
740,-3.74356548672566,NCI-H322M
740,-7.50894166666667,NCI-H460
740,-3.89595739130435,NCI-H522
740,-4.15132388059702,NCI/ADR-RES
740,-3.76457983870968,OVCAR-3
740,-3.71593529411765,OVCAR-4
740,-3.6868328,OVCAR-5
740,-6.35259487179487,OVCAR-8
740,-4.95291714285714,PC-3
740,-4.3847559139785,RPMI-8226
740,-3.74198288288288,RXF 393
740,-4.65553846153846,SF-268
740,-5.34837321428571,SF-295
740,-5.0800025210084,SF-539
740,-3.71699310344828,SK-MEL-2
740,-3.73846290322581,SK-MEL-28
740,-5.527495,SK-MEL-5
740,-3.70142276422764,SK-OV-3
740,-5.4393675,SN12C
740,-3.70455365853659,SNB-19
740,-3.70198220338983,SNB-75
740,-6.51854057971015,SR
740,-6.70193684210526,SW-620
740,-3.76186,T-47D
740,-3.70188613861386,TK-10
740,-5.31830175438597,U251
740,-3.67159137931034,UACC-257
740,-6.86643027522936,UACC-62
740,-4.06539193548387,UO-31
9706,-5.253125,786-0
9706,-4.56075773195876,A498
9706,-4.90623543307087,A549/ATCC
9706,-5.46627362637363,ACHN
9706,-4.37324230769231,BT-549
9706,-4.86236213592233,CAKI-1
9706,-5.54286666666667,CCRF-CEM
9706,-4.64468,COLO 205
9706,-4.70253870967742,DU-145
9706,-4.25527589285714,EKVX
9706,-4.66426869565217,HCC-2998
9706,-4.87904406779661,HCT-116
9706,-4.66827043478261,HCT-15
9706,-5.68363846153846,HL-60(TB)
9706,-4.8562738317757,HOP-62
9706,-4.28358468468468,HOP-92
9706,-4.075571875,HS 578T
9706,-4.67180737704918,HT29
9706,-4.54692564102564,IGROV1
9706,-4.76157731092437,K-562
9706,-4.54686722689076,KM12
9706,-5.20827053571429,LOX IMVI
9706,-4.95367078651685,M14
9706,-4.54520088495575,MALME-3M
9706,-5.11246140350877,MCF7
9706,-4.32351290322581,MDA-MB-231/ATCC
9706,-4.57318275862069,MDA-MB-435
9706,-4.66033666666667,MDA-N
9706,-5.79474380165289,MOLT-4
9706,-4.48652857142857,NCI-H226
9706,-4.995385,NCI-H23
9706,-4.36288440366972,NCI-H322M
9706,-6.05908991596639,NCI-H460
9706,-4.73974684684685,NCI-H522
9706,-4.67798644067797,NCI/ADR-RES
9706,-4.46193362068966,OVCAR-3
9706,-4.47151666666667,OVCAR-4
9706,-4.33613666666667,OVCAR-5
9706,-4.7665631147541,OVCAR-8
9706,-4.429765625,PC-3
9706,-4.42967884615385,RPMI-8226
9706,-4.59509428571429,RXF 393
9706,-4.80159391304348,SF-268
9706,-5.07216610169492,SF-295
9706,-5.1021694214876,SF-539
9706,-4.45059090909091,SK-MEL-2
9706,-4.4773775,SK-MEL-28
9706,-4.881075,SK-MEL-5
9706,-4.36587416666667,SK-OV-3
9706,-4.87899754098361,SN12C
9706,-4.46751596638655,SNB-19
9706,-4.46932393162393,SNB-75
9706,-5.78991285714286,SR
9706,-4.69012333333333,SW-620
9706,-4.13009032258065,T-47D
9706,-4.12536808510638,TK-10
9706,-4.98040725806452,U251
9706,-4.55598070175439,UACC-257
9706,-5.18102051282051,UACC-62
9706,-4.66749917355372,UO-31
12198,-4.1149,786-0
12198,-4,A498
12198,-4.4651,A549/ATCC
12198,-4.13345,ACHN
12198,-4,BT-549
12198,-4,CAKI-1
